preco;quartos;suites;vagas;area;bairro;tipo;cidade
750000;3;1;2;200;Centro;Apartamento;rio grande
196100;2;0;1;50;Parque Marinha;Casa;rio grande
689000;6;0;6;242;Cidade Nova;Casa;rio grande
340000;2;0;1;75;Vila Juncao;Apartamento;rio grande
250000;2;0;0;73;Cassino;Casa;rio grande
300000;2;1;0;100;Cassino;Casa;rio grande
240000;2;0;1;52;Cassino;Apartamento;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
350000;3;0;2;180;Cassino;Casa;rio grande
378000;1;0;0;54;Cassino;Apartamento;rio grande
54000;;0;0;1050;Centro;Terreno;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
192000;1;0;0;42;Centro;Apartamento;rio grande
300000;2;1;1;66;Centro;Apartamento;rio grande
300000;1;0;0;55;Cassino;Apartamento;rio grande
380000;2;1;1;76;Centro;Apartamento;rio grande
400000;2;1;0;67;Centro;Apartamento;rio grande
440000;2;1;1;69;Cassino;Apartamento;rio grande
310000;1;1;1;22;Centro;Flat;rio grande
450000;2;1;1;76;Cassino;Apartamento;rio grande
170000;2;0;1;56;Cassino;Casa;rio grande
138000;;0;0;300;Cassino;Terreno;rio grande
159000;;0;0;400;Bolaxa;Terreno;rio grande
212000;;0;0;800;Vila Nossa Senhora de Fatima;Terreno;rio grande
371000;2;0;1;112;Lagoa;Apartamento;rio grande
1249000;3;1;2;215;Cassino;Apartamento;rio grande
450000;4;1;3;132;Cassino;Casa;rio grande
250000;1;0;0;100;Cassino;Casa;rio grande
509000;2;1;1;94;Cassino;Apartamento;rio grande
250000;2;0;2;65;Cassino;Casa;rio grande
720000;3;2;1;94;Cassino;Apartamento;rio grande
490000;3;1;2;160;Cassino;Casa;rio grande
530000;2;1;1;130;Cassino;Casa;rio grande
350000;3;1;0;100;Cassino;Casa;rio grande
350000;3;1;0;100;Cassino;Casa;rio grande
320000;2;0;1;184;Lar Gaucho;Casa;rio grande
1355000;4;2;2;231;Cassino;Apartamento;rio grande
583000;3;0;3;220;Cassino;Casa;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
530000;;0;0;120;Quinta;Terreno;rio grande
250000;3;0;2;70;Cassino;Casa;rio grande
795000;2;1;2;152;Centro;Apartamento;rio grande
500000;3;1;0;85;Centro;Apartamento;rio grande
334000;2;0;1;80;Cassino;Casa;rio grande
100000;;0;0;420;Vila Sao Joao;Terreno;rio grande
160000;;0;0;300;Cassino;Terreno;rio grande
180000;3;0;2;75;Cassino;Casa;rio grande
5800000;;0;0;2100;Vila Maria Jose;Hotel;rio grande
240000;2;0;2;85;Cidade Nova;Apartamento;rio grande
159000;;0;0;270;Cassino;Terreno;rio grande
1000000;4;2;0;300;Cassino;Apartamento;rio grande
500000;3;0;1;101;Centro;Apartamento;rio grande
285000;;0;0;450;Centro;Terreno;rio grande
1600000;;0;0;1755;Centro;Terreno;rio grande
225000;2;0;1;65;Parque Guanabara;Casa;rio grande
350000;2;1;0;68;Cassino;Casa;rio grande
300000;1;0;0;60;Cassino;Apartamento;rio grande
150000;;0;0;300;Cassino;Terreno;rio grande
370000;2;0;1;62;Centro;Casa;rio grande
297000;2;0;1;100;Cassino;Casa;rio grande
320000;2;0;1;63;Centro;Apartamento;rio grande
430000;2;1;2;130;Cassino;Casa;rio grande
742000;3;0;1;151;Cassino;Apartamento;rio grande
4500000;6;5;0;9600;Parque Residencial Jardim do Sol;Terreno;rio grande
160000;2;0;1;47;Carreiros;Apartamento;rio grande
170000;2;0;1;41;Sao Paulo;Apartamento;rio grande
180000;2;0;0;41;Centro;Apartamento;rio grande
1064000;5;1;0;200;Parque Marinha;Sitio;rio grande
390000;4;0;0;150;Cassino;Casa;rio grande
640000;4;1;2;200;Cidade Nova;Apartamento;rio grande
837400;4;0;4;330;Cassino;Casa;rio grande
371000;2;0;1;64;Cassino;Apartamento;rio grande
250000;1;0;0;27;Cassino;Apartamento;rio grande
780000;3;1;0;201;Centro;Casa;rio grande
420000;;0;0;140;Centro;Loja/Salao;rio grande
225000;3;1;1;160;Cassino;Casa;rio grande
690000;2;0;1;95;Cassino;Apartamento;rio grande
200000;1;0;1;38;Centro;Apartamento;rio grande
400000;2;1;1;80;Centro;Apartamento;rio grande
135000;2;0;0;70;Vila Sao Joao;Casa;rio grande
