preco;quartos;suites;vagas;area;bairro;tipo;cidade
339200;2;1;1;107;Sao Cristovao;Apartamento;lajeado
220000;2;0;1;52;Olarias;Apartamento;lajeado
381600;3;1;2;138;Universitario;Casa;lajeado
2000000;;0;0;3825;Universitario;Terreno;lajeado
180000;2;1;2;72;Bom Pastor;Casa;lajeado
164500;1;0;1;55;Centro;Apartamento;lajeado
180000;2;0;1;55;Floresta;Apartamento;lajeado
220000;2;0;1;95;Centro;Apartamento;lajeado
499000;3;1;0;120;Floresta;Casa;lajeado
550000;3;1;1;266;Sao Cristovao;Casa;lajeado
455800;3;1;2;110;Sao Cristovao;Apartamento;lajeado
134620;2;0;1;62;Sao Bento;Casa;lajeado
220000;1;0;1;56;Floresta;Apartamento;lajeado
106000;1;0;0;57;Moinhos;Apartamento;lajeado
143100;2;0;1;58;Olarias;Casa;lajeado
253136;;0;0;63;Centro;Loja/Salao;lajeado
402800;3;1;2;142;Verdes Vales;Casa;lajeado
115000;2;0;1;64;Centro;Apartamento;lajeado
410000;3;1;2;175;Moinhos D'agua;Casa;lajeado
244000;2;1;1;80;Floresta;Apartamento;lajeado
600000;5;0;0;253;Sao Cristovao;Casa;lajeado
149000;2;0;1;65;Olarias;Casa;lajeado
318000;2;0;1;69;Sao Cristovao;Apartamento;lajeado
125000;2;0;1;49;Jardim do Cedro;Apartamento;lajeado
98000;1;0;0;49;Moinhos;Quitinete;lajeado
355000;3;0;0;200;Floresta;Apartamento;lajeado
254804;2;1;1;63;Sao Cristovao;Apartamento;lajeado
169000;2;0;1;65;Sao Bento;Casa;lajeado
280649;2;1;1;78;Floresta;Apartamento;lajeado
391049;2;2;1;149;Montanha;Apartamento;lajeado
1562184;3;3;0;252;Americano;Apartamento;lajeado
785126;3;1;3;157;Sao Cristovao;Apartamento;lajeado
210000;3;0;1;91;Floresta;Apartamento;lajeado
407381;3;1;1;112;Floresta;Apartamento;lajeado
240000;2;0;1;57;Sao Cristovao;Apartamento;lajeado
127200;2;0;1;54;Jardim do Cedro;Casa;lajeado
212000;2;0;1;87;Universitario;Apartamento;lajeado
185000;2;0;1;53;Universitario;Apartamento;lajeado
270000;2;0;1;100;Moinhos D'agua;Casa;lajeado
144200;2;0;1;64;Conventos;Casa;lajeado
530000;3;1;2;200;Moinhos D'agua;Casa;lajeado
1590000;3;1;6;550;Carneiros;Casa;lajeado
550000;4;1;0;200;Alto do Parque;Casa;lajeado
142040;2;0;1;71;Moinhos D'agua;Casa;lajeado
116600;2;0;1;54;Jardim do Cedro;Apartamento;lajeado
240000;2;0;1;70;Floresta;Apartamento;lajeado
159000;2;0;1;54;Universitario;Apartamento;lajeado
247491;2;0;1;80;Centro;Apartamento;lajeado
140000;2;0;1;64;Moinhos D'agua;Apartamento;lajeado
225000;3;0;1;89;Floresta;Apartamento;lajeado
95400;;0;0;370;Moinhos D'agua;Terreno;lajeado
318000;2;0;2;116;Centro;Apartamento;lajeado
490000;3;1;1;242;Moinhos;Casa;lajeado
296800;3;0;1;148;Conventos;Casa;lajeado
742000;;0;0;3027;Conventos;Chacara;lajeado
424000;3;1;2;134;Moinhos D'agua;Casa;lajeado
341800;3;1;1;97;Floresta;Apartamento;lajeado
410000;3;1;2;120;Universitario;Casa;lajeado
498000;3;1;4;165;Universitario;Casa;lajeado
805842;3;1;3;158;Sao Cristovao;Apartamento;lajeado
530000;4;1;1;200;Verdes Vales;Casa;lajeado
460000;3;1;2;150;Moinhos;Casa;lajeado
87000;;0;0;366;Conventos;Terreno;lajeado
106000;1;0;0;48;Centro;Apartamento;lajeado
130400;2;0;1;53;Conventos;Casa;lajeado
140000;1;0;1;53;Centro;Apartamento;lajeado
143100;2;0;1;55;Olarias;Casa;lajeado
185500;;0;0;360;Carneiros;Terreno;lajeado
190000;2;2;2;110;Moinhos D'agua;Casa;lajeado
243800;;0;0;450;Carneiros;Terreno;lajeado
350000;3;1;2;135;Moinhos;Casa;lajeado
371000;3;0;0;363;Carneiros;Casa;lajeado
285000;3;1;2;109;Moinhos D'agua;Casa;lajeado
1272000;6;2;4;454;Alto do Parque;Casa;lajeado
583000;3;1;0;125;Centenario;Casa;lajeado
245850;2;1;0;94;Sao Cristovao;Apartamento;lajeado
265000;;0;1;50;Centro;Conjunto;lajeado
159000;2;0;1;54;Universitario;Apartamento;lajeado
140000;2;0;1;75;Moinhos D'agua;Apartamento;lajeado
90100;;0;0;394;Centro;Terreno;lajeado
667000;3;0;2;204;Americano;Apartamento;lajeado
212000;;0;0;396;Moinhos;Terreno;lajeado
300000;3;1;1;79;Sao Cristovao;Apartamento;lajeado
413400;3;1;2;157;Moinhos;Casa;lajeado
103880;1;0;0;36;Centro;Apartamento;lajeado
199000;2;0;1;70;Moinhos;Apartamento;lajeado
393000;3;1;0;139;Verdes Vales;Casa;lajeado
130380;2;0;1;60;Olarias;Casa;lajeado
150000;2;2;2;71;Conventos;Casa;lajeado
191500;;0;0;360;Universitario;Terreno;lajeado
320000;3;1;0;120;Conventos;Casa;lajeado
218000;;0;0;35;Centro;Conjunto;lajeado
125100;2;0;1;53;Conventos;Casa;lajeado
236380;2;0;1;76;Sao Cristovao;Apartamento;lajeado
250000;2;0;0;97;Moinhos D'agua;Casa;lajeado
550770;3;3;0;127;Americano;Apartamento;lajeado
320000;3;0;1;112;Conventos;Casa;lajeado
193000;2;0;2;78;Bom Pastor;Casa;lajeado
